Time,RTT AVG
1,47.52722222
2,45.91641667
3,45.41875
4,48.83316667
5,45.5545
6,57.51366667
7,48.15358333
8,49.74691667
9,47.03341667
10,44.77325
11,54.33316667
12,47.23375
13,44.13191667
14,47.72383333
15,49.65908333
16,46.21391667
17,44.51791667
18,47.93258333
19,62.43116667
20,71.93383333
21,49.176
22,46.99483333
23,55.69541667
24,48.96241667
25,48.20108333
26,45.27308333
27,45.0875
28,46.07375
29,44.62883333
30,45.0935
31,47.17741667
32,49.37866667
33,45.76033333
34,48.86208333
35,45.27958333
36,48.30516667
37,48.32791667
38,43.6335
39,48.41208333
40,45.38291667
41,56.03208333
42,67.68866667
43,68.534
44,59.44691667
45,58.10083333
46,50.17866667
47,53.4845
48,50.60708333
49,47.193
50,59.89066667
51,50.55525
52,45.01433333
53,47.575
54,50.78391667
55,47.06183333
56,54.41825
57,45.03416667
58,52.9855
59,48.45516667
60,55.15675
61,51.08158333
62,48.62183333
63,51.29175
64,47.81908333
65,49.73933333
66,49.38716667
67,56.82066667
68,50.9615
69,46.983
70,47.36175
71,52.55916667
72,51.509
73,44.40075
74,48.58391667
75,46.98583333
76,44.38741667
77,47.664
78,53.5005
79,45.562
80,47.13675
81,48.81625
82,65.07925
83,49.37508333
84,44.74916667
85,49.37491667
86,48.02275
87,46.27833333
88,49.45216667
89,44.397
90,53.96725
91,47.693
92,61.55241667
93,53.203
94,48.0785
95,48.5245
96,55.77
97,47.70641667
98,51.51391667
99,43.97508333
100,48.08958333
101,46.66908333
102,62.51191667
103,48.99791667
104,51.33341667
105,44.35658333
106,46.10383333
107,45.07916667
108,47.77308333
109,48.5035
110,59.08708333
111,48.54541667
112,46.9005
113,45.19566667
114,44.80191667
115,47.05591667
116,47.12825
117,49.71058333
118,48.54916667
119,47.68458333
120,47.3535
121,46.655
122,44.626
123,55.28466667
124,43.42083333
125,45.1215
126,44.62883333
127,46.62016667
128,44.9355
129,46.16083333
130,47.2125
131,48.7585
132,45.1085
133,47.9265
134,44.41775
135,53.45591667
136,50.27858333
137,44.68266667
138,44.73508333
139,48.3285
140,47.50541667
141,47.39533333
142,51.3655
143,47.21875
144,49.30175
145,46.70666667
146,51.89208333
147,49.0475
148,45.90208333
149,47.27683333
150,47.06008333
151,47.40233333
